@relation test

@attribute startDate date 'yyyy-MM-dd HH:mm:ss'
@attribute attatchNum numeric
@attribute isFwd {y,n}

@data
?,?,?
'2014-01-15 13:49:35',0,n
'2014-01-14 19:06:01',0,n
'2014-01-15 10:41:33',0,n
'2014-01-15 09:58:36',0,n
'2014-01-15 09:15:03',0,n
'2014-01-15 08:47:27',0,n
'2014-01-14 22:06:52',0,n
'2014-01-13 08:09:54',0,n
'2014-01-14 18:46:54',0,n
'2014-01-14 16:59:13',0,n
'2014-01-14 16:53:49',0,n
'2014-01-14 14:59:11',0,n
'2014-01-14 15:57:15',0,n
'2014-01-13 14:02:33',0,n
'2014-01-14 10:06:40',0,n
'2014-01-14 10:51:14',0,n
'2014-01-14 07:08:52',0,n
'2014-01-14 00:46:41',0,n
'2014-01-13 23:55:20',0,n
'2014-01-13 17:16:55',0,n
'2014-01-13 16:54:24',0,n
'2014-01-13 16:03:30',0,n
'2014-01-13 14:31:27',0,n
'2014-01-13 13:53:17',0,n
'2014-01-13 13:01:04',0,n
'2014-01-13 12:27:01',0,n
'2014-01-13 12:12:42',0,n
'2014-01-13 06:53:52',0,n
'2014-01-12 20:00:46',0,n
'2014-01-12 16:05:50',0,n
'2014-01-12 12:07:22',0,n
'2014-01-12 05:22:49',0,n
'2014-01-12 03:59:25',0,n
'2014-01-11 22:47:43',0,n
'2013-10-08 09:48:21',0,n
'2014-01-11 19:16:41',0,n
'2014-01-11 12:30:47',0,n
'2014-01-11 12:28:12',0,n
'2014-01-11 10:19:44',0,n
'2014-01-11 10:16:13',0,n
'2014-01-11 09:41:03',0,n
'2014-01-11 08:00:25',0,n
'2014-01-11 05:05:18',0,n
'2014-01-10 20:07:08',0,n
'2014-01-10 19:24:17',0,n
'2014-01-10 17:25:44',0,n
'2014-01-10 16:14:49',0,n
'2014-01-10 14:49:21',0,n
'2014-01-10 14:45:15',0,n
'2014-01-10 14:28:42',0,n
'2014-01-10 14:27:16',0,n
'2014-01-10 13:03:15',0,n
'2014-01-10 11:58:37',0,n
'2014-01-10 11:46:40',0,n
'2014-01-10 10:58:19',0,n
'2014-01-10 11:06:55',0,n
'2014-01-10 10:24:36',0,n
'2014-01-10 09:56:25',0,n
'2014-01-10 05:13:54',0,n
'2014-01-09 23:58:21',0,n
'2014-01-09 22:42:29',0,n
'2014-01-09 16:31:08',0,n
'2014-01-09 16:14:01',0,n
'2014-01-09 15:54:47',0,n
'2014-01-09 15:08:27',0,n
'2014-01-09 12:14:16',0,n
'2014-01-07 00:46:34',0,n
'2014-01-09 09:09:48',0,n
'2014-01-08 21:53:29',0,n
'2014-01-08 19:26:19',0,n
'2014-01-08 18:20:16',0,n
'2014-01-08 16:02:03',0,n
'2014-01-08 13:10:25',0,n
'2014-01-08 13:14:42',0,y
'2014-01-08 13:00:41',0,n
'2014-01-08 12:23:43',0,n
'2014-01-08 07:16:16',0,n
'2014-01-08 00:04:45',0,n
'2014-01-07 20:52:41',0,n
'2014-01-07 20:27:13',0,n
'2014-01-07 16:22:16',0,n
'2014-01-07 16:19:09',0,n
'2014-01-07 15:18:28',0,n
'2014-01-07 13:40:32',0,n
'2014-01-07 12:53:29',0,n
'2014-01-07 12:03:18',0,n
'2014-01-07 11:58:43',0,n
'2014-01-07 08:05:31',0,n
'2014-01-07 11:46:56',0,n
'2014-01-06 06:53:17',0,n
'2014-01-07 11:27:24',0,n
'2014-01-07 10:58:05',0,n
'2014-01-07 10:48:09',0,n
'2014-01-07 09:34:33',0,n
'2014-01-07 07:11:23',0,n
'2014-01-07 05:23:08',0,n
'2014-01-06 23:58:06',0,n
'2014-01-06 16:46:44',0,n
'2014-01-06 16:01:44',0,n
'2014-01-06 14:22:37',0,n
'2014-01-06 14:21:15',0,n
'2014-01-06 06:59:01',0,n
'2013-12-19 22:49:47',0,n
'2014-01-03 02:19:35',0,n
'2014-01-05 20:11:54',0,n
'2014-01-05 19:50:17',0,n
'2014-01-05 17:04:49',0,n
'2014-01-05 16:58:01',0,n
'2014-01-05 16:09:30',0,n
'2014-01-05 15:52:55',0,n
'2014-01-05 05:48:09',0,n
'2014-01-05 05:19:27',0,n
'2014-01-05 00:09:03',0,n
'2014-01-04 18:32:13',0,n
'2014-01-01 02:23:41',0,n
'2014-01-03 04:47:47',0,n
'2014-01-04 11:36:08',0,n
'2014-01-04 10:51:01',0,n
'2014-01-04 09:04:45',0,n
'2014-01-04 09:28:20',0,n
'2014-01-04 09:07:12',0,n
'2014-01-04 05:27:32',0,n
'2014-01-04 00:14:47',0,n
'2014-01-03 19:48:23',0,n
'2014-01-03 21:21:06',0,n
'2014-01-03 20:01:01',0,n
'2014-01-03 19:58:20',0,n
'2014-01-03 18:41:45',0,n
'2014-01-03 17:06:31',0,n
'2014-01-03 16:33:23',0,n
'2014-01-03 16:20:03',0,n
'2014-01-03 16:04:13',0,n
'2014-01-03 15:25:20',0,n
'2014-01-03 15:24:57',0,n
'2014-01-03 14:08:45',0,n
'2014-01-03 13:32:51',0,n
'2014-01-03 13:30:54',0,n
'2014-01-03 11:58:18',0,n
'2014-01-03 12:39:56',0,n
'2014-01-03 11:51:28',0,n
'2014-01-03 10:06:38',0,n
'2014-01-03 09:37:43',0,n
'2014-01-03 05:33:45',0,n
'2014-01-02 23:28:44',0,n
'2014-01-02 23:28:31',0,n
'2014-01-02 23:23:21',0,n
'2014-01-02 23:19:25',0,n
'2014-01-02 21:41:27',0,n
'2014-01-02 20:14:29',0,n
'2014-01-02 19:13:45',0,n
'2014-01-02 18:47:21',0,n
'2014-01-02 16:00:29',0,n
'2014-01-02 13:54:07',0,n
'2014-01-02 13:06:38',0,n
'2014-01-02 12:40:44',0,n
'2014-01-02 09:06:33',0,n
'2014-01-02 11:18:19',0,n
'2014-01-02 10:35:48',0,n
'2014-01-02 10:14:09',0,n
'2014-01-02 10:01:01',0,n
'2014-01-02 09:03:10',0,n
'2014-01-02 09:41:34',0,n
'2014-01-02 08:31:43',0,n
'2014-01-02 08:18:06',0,y
'2014-01-02 06:09:41',0,n
'2014-01-02 05:32:49',0,n
'2014-01-01 19:46:32',0,n
'2014-01-01 16:10:26',0,n
